Date,Departure,Destination,Airline,Price,Departure Time,Arrival Time,Stops,Duration,Flight Type
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,17:55,18:10+1,1 stop,31h 15m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Turkish Airlines,3859,10:30,11:20+1,1 stop,31h 50m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,3870,05:15,20:25,1 stop,22h 10m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,SWISS,3882,18:20,16:15+1,1 stop,28h 55m,Economy (partially refundable)
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"SWISS, United Airlines",3909,18:20,13:05+1,1 stop,25h 45m,Economy (partially refundable)
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"SWISS, United Airlines",3909,18:20,16:15+1,1 stop,28h 55m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Delta,3917,05:15,19:30,1 stop,21h 15m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,3927,05:15,20:25,1 stop,22h 10m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, United Airlines",3927,05:15,20:25,1 stop,22h 10m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Brussels Airlines, Air Canada",3938,01:05,20:27,2 stops,26h 22m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,3940,05:15,20:25,1 stop,22h 10m,Economy Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Air Canada,3963,07:55,22:21,2 stops,21h 26m,Economy Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, Air Canada",3963,07:55,22:21,2 stops,21h 26m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, Air Canada",3963,07:55,22:21,2 stops,21h 26m,Light
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Air Canada,3963,05:15,22:21,2 stops,24h 06m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Air Canada,3963,05:15,22:21,2 stops,24h 06m,Discount
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, Air Canada",3963,05:15,22:21,2 stops,24h 06m,Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Lufthansa, Air Canada",3963,05:15,22:21,2 stops,24h 06m,Classic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,3971,17:10,15:40+1,1 stop,29h 30m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Brussels Airlines, United Airlines",3973,16:10,13:20+1,1 stop,28h 10m,Eco Special
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Lufthansa,3975,16:20,13:40+1,1 stop,28h 20m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,3978,17:10,15:40+1,1 stop,29h 30m,Economy Choice
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,SWISS,3982,18:20,14:40+1,2 stops,27h 20m,Economy Choice Plus
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,SWISS,3982,18:20,14:40+1,2 stops,27h 20m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,United Airlines,3982,16:20,13:40+1,1 stop,28h 20m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,3986,16:10,13:20+1,1 stop,28h 10m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,3995,16:20,13:40+1,1 stop,28h 20m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4005,01:05,15:40,2 stops,21h 35m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4005,01:05,15:40,2 stops,21h 35m,Eco Special
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4011,06:05,20:25,2 stops,21h 20m,Eco Flex
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4011,06:05,20:25,2 stops,21h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4011,06:05,20:25,2 stops,21h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4011,06:05,20:25,2 stops,21h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4011,15:40,13:40+1,2 stops,29h 00m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4011,15:40,13:40+1,2 stops,29h 00m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,"Austrian Airlines, United Airlines",4011,15:40,13:40+1,2 stops,29h 00m,Economy
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4019,01:05,13:40,2 stops,19h 35m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4019,01:05,20:25,2 stops,26h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4019,01:05,20:25,2 stops,26h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4019,01:05,20:25,2 stops,26h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4019,01:05,20:25,2 stops,26h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4019,01:05,20:25,2 stops,26h 20m,Flexible
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4056,17:10,13:20+1,2 stops,27h 10m,Economy Basic
2023-12-01,Ben Gurion Intl,John F Kennedy Intl,Brussels Airlines,4067,16:10,13:40+1,2 stops,28h 30m,Economy Flex
